time,x,y,z,gx,gy,gz,barometer
19.227,0.74,-0.56,0.44,0.22,0.03,-0.11,1007.49
19.326,0.96,-0.66,0.49,-0.24,-0.14,0.01,1007.55
19.42,0.55,-0.48,0.40,0.06,0.91,0.43,1007.45
19.555,0.49,-0.62,0.57,0.44,0.49,0.34,1007.48
19.659,0.48,-0.65,0.57,-0.20,0.10,0.76,1007.48
19.777,0.43,-0.66,0.61,-0.03,0.02,0.18,1007.56
19.894,0.40,-0.65,0.63,0.02,-0.10,-0.13,1007.48
19.982,0.39,-0.69,0.61,0.46,0.13,0.18,1007.55
19.982,0.39,-0.69,0.61,0.46,0.13,0.18,1007.55
20.251,0.38,-0.67,0.62,0.46,0.13,0.18,1007.55
20.346,0.38,-0.67,0.62,-0.06,0.09,0.05,1007.56
20.419,0.42,-0.67,0.64,0.06,-0.04,0.01,1007.44
20.568,0.41,-0.70,0.63,0.04,-0.12,-0.05,1007.61
20.674,0.40,-0.67,0.65,-0.23,-0.26,-0.04,1007.40
