time,x,y,z,gx,gy,gz,barometer
25.4,-0.46,-1.20,1.34,-1.44,-0.34,-0.99,1007.48
25.569,0.30,-0.65,0.74,0.90,-0.15,-0.30,1007.25
25.81,0.39,-0.49,0.78,0.23,0.00,-0.06,1007.37
26.022,0.46,-0.73,0.64,-0.18,-0.05,-0.22,1007.52
26.192,-0.06,-0.79,0.40,1.62,-0.47,-0.42,1007.44
26.305,0.16,-0.83,0.51,-1.34,0.78,3.10,1007.42
26.654,0.47,-0.94,0.57,-1.34,0.78,3.10,1007.42
26.777,0.38,-0.75,0.79,0.95,-1.97,-1.12,1007.43
27.012,0.39,-0.49,0.77,0.46,-0.13,-0.23,1007.51
27.171,0.40,-0.56,0.74,0.07,-0.03,-0.10,1007.39
27.405,0.36,-0.72,0.78,0.16,-0.65,-0.68,1007.58
27.567,0.10,-0.69,0.48,1.13,3.37,-1.12,1007.42
27.814,0.33,-0.50,0.83,-1.74,1.17,-0.99,1007.39
27.99,0.31,-0.67,0.90,1.42,0.04,0.16,1007.40
28.197,0.42,-0.47,0.79,0.22,-0.09,0.04,1007.52
28.44,0.37,-0.50,0.77,-0.02,-0.05,0.04,1007.52
28.57,0.46,-0.48,0.69,-0.55,1.01,-0.98,1007.42
28.933,0.46,-0.48,0.69,-0.55,1.01,-0.98,1007.47
28.986,0.35,-0.56,0.72,0.05,0.10,-0.13,1007.38
29.234,0.36,-0.52,0.75,0.06,0.06,-0.14,1007.57
29.405,0.36,-0.51,0.78,0.05,-0.35,0.11,1007.48
29.598,0.36,-0.50,0.75,0.01,0.04,0.02,1007.44
29.803,0.36,-0.50,0.75,-0.08,0.33,-0.01,1007.51
